"Week","SeasonType","StartDate","Completed","HomeId","HomeTeam","HomeClassification","HomeConference","HomePoints","AwayId","AwayTeam","AwayClassification","AwayConference","AwayPoints"
"1","regular","2025-08-23T16:00:00.000Z","true","2306","Kansas State","fbs","Big 12","21","66","Iowa State","fbs","Big 12","24"
"1","regular","2025-08-23T17:00:00.000Z","true","2447","Nicholls","fcs","Southland","20","2916","Incarnate Word","fcs","Southland","6"
"1","regular","2025-08-23T20:00:00.000Z","true","2439","UNLV","fbs","Mountain West","38","304","Idaho State","fcs","Big Sky","31"
"1","regular","2025-08-23T20:30:00.000Z","true","2502","Portland State","fcs","Big Sky","0","2627","Tarleton State","fcs","UAC","42"
"1","regular","2025-08-23T22:30:00.000Z","true","2305","Kansas","fbs","Big 12","31","278","Fresno State","fbs","Mountain West","7"
"1","regular","2025-08-23T23:00:00.000Z","true","98","Western Kentucky","fbs","Conference USA","41","2534","Sam Houston","fbs","Conference USA","24"
"1","regular","2025-08-23T23:30:00.000Z","true","2582","Southern","fcs","SWAC","14","2428","North Carolina Central","fcs","MEAC","31"
"1","regular","2025-08-23T23:30:00.000Z","true","62","Hawai'i","fbs","Mountain West","23","24","Stanford","fbs","ACC","20"
"1","regular","2025-08-28T19:00:00.000Z","true","2120","Central Washington","ii","Lone Star","41","11","Colorado Mesa","ii","Rocky Mountain","14"
"1","regular","2025-08-28T21:30:00.000Z","true","58","South Florida","fbs","American Athletic","34","68","Boise State","fbs","Mountain West","7"
"1","regular","2025-08-28T22:00:00.000Z","true","2366","Marian College","","","21","2292","Indianapolis","ii","Great Lakes","45"
"1","regular","2025-08-28T22:00:00.000Z","true","2392","Michigan Tech","ii","GLIAC","37","132","Bemidji State","ii","Northern Sun","17"
"1","regular","2025-08-28T22:00:00.000Z","true","2134","Clarion","ii","Pennsylvania State Athletic","34","112335","Wheeling","ii","Mountain East","0"
"1","regular","2025-08-28T22:00:00.000Z","true","2754","Youngstown State","fcs","MVFC","24","2385","Mercyhurst","fcs","NEC","15"
"1","regular","2025-08-28T22:00:00.000Z","true","129","Saginaw Valley State","ii","GLIAC","21","196","Northeastern State","ii","Independent DII","28"
"1","regular","2025-08-28T22:00:00.000Z","true","189","Bowling Green","fbs","Mid-American","26","322","Lafayette","fcs","Patriot","7"
"1","regular","2025-08-28T22:00:00.000Z","true","164","Rutgers","fbs","Big Ten","34","195","Ohio","fbs","Mid-American","31"
"1","regular","2025-08-28T23:00:00.000Z","true","122666","Wilson","ii","Carolinas","7","330","Virginia St","ii","CIAA","35"
"1","regular","2025-08-28T23:00:00.000Z","true","2450","Norfolk State","fcs","MEAC","7","119","Towson","fcs","CAA","27"
"1","regular","2025-08-28T23:00:00.000Z","true","2844","Wayne State (NE)","ii","Northern Sun","21","2438","Nebraska-Kearney","ii","Mid America","28"
"1","regular","2025-08-28T23:00:00.000Z","true","2128","University Of Charleston (WV)","ii","Mountain East","39","2940","Livingstone","ii","CIAA","10"
"1","regular","2025-08-28T23:00:00.000Z","true","152","NC State","fbs","ACC","24","151","East Carolina","fbs","American Athletic","17"
"1","regular","2025-08-28T23:00:00.000Z","true","2364","Minnesota State Mankato","ii","Northern Sun","38","138","Northwest Missouri St","ii","Mid America","14"
"1","regular","2025-08-28T23:00:00.000Z","true","611","Seton Hill","ii","Pennsylvania State Athletic","21","2986","Fairmont State","ii","Mountain East","24"
"1","regular","2025-08-28T23:00:00.000Z","true","2682","Walsh","ii","Great Midwest Athletic","38","2699","West Liberty","ii","Mountain East","10"
"1","regular","2025-08-28T23:00:00.000Z","true","282","Indiana State","fcs","MVFC","41","2816","McKendree","ii","Great Lakes","24"
"1","regular","2025-08-28T23:00:00.000Z","true","128","Northern Michigan","ii","GLIAC","37","2817","Minnesota State Moorhead","ii","Northern Sun","44"
"1","regular","2025-08-28T23:00:00.000Z","true","2197","Eastern Illinois","fcs","Big South-OVC","24","2168","Dayton","fcs","Pioneer","14"
"1","regular","2025-08-28T23:00:00.000Z","true","2900","St. Thomas (MN)","fcs","Pioneer","35","2815","Lindenwood","fcs","Big South-OVC","13"
"1","regular","2025-08-28T23:00:00.000Z","true","2116","UCF","fbs","Big 12","17","55","Jacksonville State","fbs","Conference USA","10"
"1","regular","2025-08-28T23:00:00.000Z","true","2006","Akron","fbs","Mid-American","0","2751","Wyoming","fbs","Mountain West","10"
"1","regular","2025-08-28T23:00:00.000Z","true","48","Delaware","fbs","Conference USA","35","2169","Delaware State","fcs","MEAC","17"
"1","regular","2025-08-28T23:00:00.000Z","true","2170","Delta State","ii","Gulf South","31","2118","Central Missouri","ii","Mid America","23"
"1","regular","2025-08-28T23:00:00.000Z","true","2433","UL Monroe","fbs","Sun Belt","29","2598","St. Francis (PA)","fcs","NEC","0"
"1","regular","2025-08-28T23:00:00.000Z","true","2222","Ferris State","ii","GLIAC","34","90","Pittsburg St","ii","Mid America","17"
"1","regular","2025-08-28T23:05:00.000Z","true","2188","East Stroudsburg University","ii","Pennsylvania State Athletic","14","2205","Edinboro University","ii","Pennsylvania State Athletic","29"
"1","regular","2025-08-28T23:30:00.000Z","true","150","Duke","fbs","ACC","45","2210","Elon","fcs","CAA","17"
"1","regular","2025-08-28T23:30:00.000Z","true","2181","Drake","fcs","Pioneer","41","389","Upper Iowa University","ii","Great Lakes","7"
"1","regular","2025-08-28T23:30:00.000Z","true","2535","Samford","fcs","Southern","3","2698","West Georgia","fcs","UAC","34"
"1","regular","2025-08-28T23:30:00.000Z","true","559","University of Mary","ii","Northern Sun","28","565","Midland Lutheran College","","","22"
"1","regular","2025-08-28T23:30:00.000Z","true","197","Oklahoma State","fbs","Big 12","27","2630","UT Martin","fcs","Big South-OVC","7"
"1","regular","2025-08-28T23:30:00.000Z","true","2825","Quincy","ii","Great Lakes","38","3066","Concordia University St Paul","ii","Northern Sun","7"
"1","regular","2025-08-28T23:30:00.000Z","true","2277","Houston Christian","fcs","Southland","69","124386","Little Rock","","","0"
"1","regular","2025-08-28T23:30:00.000Z","true","142","Missouri","fbs","SEC","61","2110","Central Arkansas","fcs","UAC","6"
"1","regular","2025-08-29T00:00:00.000Z","true","135","Minnesota","fbs","Big Ten","23","2084","Buffalo","fbs","Mid-American","10"
"1","regular","2025-08-29T00:00:00.000Z","true","2851","Winona State","ii","Northern Sun","7","134","Minnesota Duluth","ii","Northern Sun","35"
"1","regular","2025-08-29T00:00:00.000Z","true","2231","Fort Hays State","ii","Mid America","7","2025","Angelo State","ii","Lone Star","28"
"1","regular","2025-08-29T00:00:00.000Z","true","2466","Northwestern State","fcs","Southland","20","2016","Alcorn State","fcs","SWAC","10"
"1","regular","2025-08-29T00:00:00.000Z","true","2714","Western Colorado","ii","Rocky Mountain","45","2704","West Texas A&M","ii","Lone Star","28"
"1","regular","2025-08-29T00:00:00.000Z","true","2214","Emporia State University","ii","Mid America","27","568","Minot State","ii","Northern Sun","7"
"1","regular","2025-08-29T00:00:00.000Z","true","2069","Black Hills State","ii","Rocky Mountain","21","2894","Sioux Falls","ii","Northern Sun","27"
"1","regular","2025-08-29T00:00:00.000Z","true","2201","Eastern New Mexico","ii","Lone Star","28","2424","New Mexico Highlands","ii","Rocky Mountain","34"
